head,type,tail,meta
AAAI Conference on Artificial Intelligence,point in time,2023,"{'spans': [[176, 226]], 'source': '4f8b6e6f5b3e481ba83ab96330f14685'}"
ARXiv preprint,part of,arXiv,"{'spans': [[176, 226]], 'source': '4f8b6e6f5b3e481ba83ab96330f14685'}"
Mobilevit,use,Deep Learning,"{'spans': [[220, 270]], 'source': '4f8b6e6f5b3e481ba83ab96330f14685'}"
Mobilevit,uses,Deep Learning,"{'spans': [[220, 270]], 'source': '4f8b6e6f5b3e481ba83ab96330f14685'}"
Mobilevit,field of work,Deep Learning,"{'spans': [[220, 270]], 'source': '4f8b6e6f5b3e481ba83ab96330f14685'}"
Mobilevit,author,Xu C,"{'spans': [[264, 314]], 'source': '4f8b6e6f5b3e481ba83ab96330f14685'}"
Mobilevit,use,model compression and acceleration,"{'spans': [[264, 314]], 'source': '4f8b6e6f5b3e481ba83ab96330f14685'}"
Mobilevit,author,McAuley J,"{'spans': [[264, 314]], 'source': '4f8b6e6f5b3e481ba83ab96330f14685'}"
Korean Medicine,subclass of,Conventional Medicine,"{'spans': [[308, 358]], 'source': '4f8b6e6f5b3e481ba83ab96330f14685'}"
Conventional Medicine,subclass of,Korean Medicine,"{'spans': [[308, 358]], 'source': '4f8b6e6f5b3e481ba83ab96330f14685'}"
Korean Medicine,part of,Conventional Medicine,"{'spans': [[308, 358]], 'source': '4f8b6e6f5b3e481ba83ab96330f14685'}"
Conventional Medicine,has part,Korean Medicine,"{'spans': [[308, 358]], 'source': '4f8b6e6f5b3e481ba83ab96330f14685'}"
Six Qi as Analytical Concepts in Life Phenomena,main subject,Six Qi,"{'spans': [[352, 402]], 'source': '4f8b6e6f5b3e481ba83ab96330f14685'}"
Internal Six Qi,facet of,Organization of the nervous system,"{'spans': [[396, 446]], 'source': '4f8b6e6f5b3e481ba83ab96330f14685'}"
Internal Six Qi,part of,Organization of the nervous system,"{'spans': [[396, 446]], 'source': '4f8b6e6f5b3e481ba83ab96330f14685'}"
Organization of the nervous system,has part,Internal Six Qi,"{'spans': [[396, 446]], 'source': '4f8b6e6f5b3e481ba83ab96330f14685'}"
Erythropoietin,subclass of,Erythropoietin,"{'spans': [[0, 50]], 'source': '8afd4b24e6434a2cb9384d8a5b9d5253'}"
Organization of the nervous system,part of,nervous system,"{'spans': [[0, 50]], 'source': '8afd4b24e6434a2cb9384d8a5b9d5253'}"
nervous system,has part,Organization of the nervous system,"{'spans': [[0, 50]], 'source': '8afd4b24e6434a2cb9384d8a5b9d5253'}"
Erythropoietin,part of,Erythropoietin,"{'spans': [[0, 50]], 'source': '8afd4b24e6434a2cb9384d8a5b9d5253'}"
The Concept of Extraordinary Fu Organs,part of,The Concept of Extraordinary Fu Organs,"{'spans': [[48, 98]], 'source': '8afd4b24e6434a2cb9384d8a5b9d5253'}"
The Concept of Extraordinary Fu Organs,facet of,The Concept of Extraordinary Fu Organs,"{'spans': [[48, 98]], 'source': '8afd4b24e6434a2cb9384d8a5b9d5253'}"
The Concept of Extraordinary Fu Organs,has part,The Concept of Extraordinary Fu Organs,"{'spans': [[48, 98]], 'source': '8afd4b24e6434a2cb9384d8a5b9d5253'}"
The Concept of Heavenly Water and Menstruation,facet of,Negative Disorders,"{'spans': [[96, 146]], 'source': '8afd4b24e6434a2cb9384d8a5b9d5253'}"
Korean Medicine,language of work or name,Korean,"{'spans': [[144, 194]], 'source': '8afd4b24e6434a2cb9384d8a5b9d5253'}"
"Pulsatile Secretion of GnRH, FSH, and LH",publisher,Korean Medicine,"{'spans': [[144, 194]], 'source': '8afd4b24e6434a2cb9384d8a5b9d5253'}"
"Pulsatile Secretion of GnRH, FSH, and LH",part of,Korean Medicine,"{'spans': [[144, 194]], 'source': '8afd4b24e6434a2cb9384d8a5b9d5253'}"
Direct retrieval,subclass of,model evaluation,"{'spans': [[192, 242]], 'source': '8afd4b24e6434a2cb9384d8a5b9d5253'}"
Direct retrieval,instance of,types,"{'spans': [[192, 242]], 'source': '8afd4b24e6434a2cb9384d8a5b9d5253'}"
Direct retrieval,use,model evaluation,"{'spans': [[192, 242]], 'source': '8afd4b24e6434a2cb9384d8a5b9d5253'}"
Earth,has part,five elements,"{'spans': [[240, 290]], 'source': '8afd4b24e6434a2cb9384d8a5b9d5253'}"
five elements,part of,Earth,"{'spans': [[240, 290]], 'source': '8afd4b24e6434a2cb9384d8a5b9d5253'}"
Earth,has parts of the class,five elements,"{'spans': [[240, 290]], 'source': '8afd4b24e6434a2cb9384d8a5b9d5253'}"
Earth from the five elements,part of,Earth,"{'spans': [[240, 290]], 'source': '8afd4b24e6434a2cb9384d8a5b9d5253'}"
herbal medicine,subclass of,medicine,"{'spans': [[288, 338]], 'source': '8afd4b24e6434a2cb9384d8a5b9d5253'}"
herbal medicine,subclass of,constitutional medicine,"{'spans': [[288, 338]], 'source': '8afd4b24e6434a2cb9384d8a5b9d5253'}"
domestic herbal medicine,subclass of,constitutional medicine,"{'spans': [[288, 338]], 'source': '8afd4b24e6434a2cb9384d8a5b9d5253'}"
Fourth Comprehensive Plan for the Promotion and Development of Korean Medicine,followed by,Fourth Comprehensive Plan for the Promotion and Development of Korean Medicine,"{'spans': [[336, 386]], 'source': '8afd4b24e6434a2cb9384d8a5b9d5253'}"
Korean National Licensing Examination for Korean Medicine Doctors,part of,Fourth Comprehensive Plan for the Promotion and Development of Korean Medicine,"{'spans': [[336, 386]], 'source': '8afd4b24e6434a2cb9384d8a5b9d5253'}"
Fourth Comprehensive Plan for the Promotion and Development of Korean Medicine,follows,Fourth Comprehensive Plan for the Promotion and Development of Korean Medicine,"{'spans': [[336, 386]], 'source': '8afd4b24e6434a2cb9384d8a5b9d5253'}"
Traditional Chinese Medicine,country,People's Republic of China,"{'spans': [[0, 50]], 'source': '01133c1b657547d1beade67f04f843c9'}"
Law of the People's Republic of China on Traditional Chinese Medicine,main subject,Traditional Chinese Medicine,"{'spans': [[0, 50]], 'source': '01133c1b657547d1beade67f04f843c9'}"
Law of the People's Republic of China on Traditional Chinese Medicine,country,People's Republic of China,"{'spans': [[0, 50]], 'source': '01133c1b657547d1beade67f04f843c9'}"
Body Fluid,different from,Blood,"{'spans': [[43, 93]], 'source': '01133c1b657547d1beade67f04f843c9'}"
Body Fluid,has part,Blood,"{'spans': [[43, 93]], 'source': '01133c1b657547d1beade67f04f843c9'}"
Blood,different from,Body Fluid,"{'spans': [[43, 93]], 'source': '01133c1b657547d1beade67f04f843c9'}"
Korea,diplomatic relation,Japan,"{'spans': [[86, 136]], 'source': '01133c1b657547d1beade67f04f843c9'}"
Korea,diplomatic relation,China,"{'spans': [[86, 136]], 'source': '01133c1b657547d1beade67f04f843c9'}"
China,diplomatic relation,Japan,"{'spans': [[86, 136]], 'source': '01133c1b657547d1beade67f04f843c9'}"
Japan,diplomatic relation,China,"{'spans': [[86, 136]], 'source': '01133c1b657547d1beade67f04f843c9'}"
Open-ended Questions,subclass of,Application Questions,"{'spans': [[129, 179]], 'source': '01133c1b657547d1beade67f04f843c9'}"
Application Questions,subclass of,Application Questions,"{'spans': [[129, 179]], 'source': '01133c1b657547d1beade67f04f843c9'}"
Application Questions,followed by,Open-ended Questions,"{'spans': [[129, 179]], 'source': '01133c1b657547d1beade67f04f843c9'}"
acupuncture,part of,Korean medicine,"{'spans': [[172, 222]], 'source': '01133c1b657547d1beade67f04f843c9'}"
Korean acupuncture,part of,Korean medicine,"{'spans': [[172, 222]], 'source': '01133c1b657547d1beade67f04f843c9'}"
Six Fu,has part,Extraordinary Fu,"{'spans': [[215, 265]], 'source': '01133c1b657547d1beade67f04f843c9'}"
Extraordinary Fu,part of,Six Fu,"{'spans': [[215, 265]], 'source': '01133c1b657547d1beade67f04f843c9'}"
Six Fu,followed by,Extraordinary Fu,"{'spans': [[215, 265]], 'source': '01133c1b657547d1beade67f04f843c9'}"
Eight Principle pharmacopuncture,subclass of,pattern differentiation,"{'spans': [[258, 308]], 'source': '01133c1b657547d1beade67f04f843c9'}"
Eight Principle pharmacopuncture,uses,pattern differentiation,"{'spans': [[258, 308]], 'source': '01133c1b657547d1beade67f04f843c9'}"
Eight Principle pharmacopuncture,instance of,pattern differentiation,"{'spans': [[258, 308]], 'source': '01133c1b657547d1beade67f04f843c9'}"
herbal medicine,part of,systems biology,"{'spans': [[301, 351]], 'source': '01133c1b657547d1beade67f04f843c9'}"
herbal medicine,subclass of,systems biology,"{'spans': [[301, 351]], 'source': '01133c1b657547d1beade67f04f843c9'}"
herbal medicine,part of,Korean medicine,"{'spans': [[301, 351]], 'source': '01133c1b657547d1beade67f04f843c9'}"
health insurance,subclass of,coverage,"{'spans': [[0, 50]], 'source': 'e7bed1fb1454426dacf6c542a5500ff4'}"
health insurance,instance of,coverage,"{'spans': [[0, 50]], 'source': 'e7bed1fb1454426dacf6c542a5500ff4'}"
health insurance,has part,coverage,"{'spans': [[0, 50]], 'source': 'e7bed1fb1454426dacf6c542a5500ff4'}"
coverage,part of,health insurance,"{'spans': [[0, 50]], 'source': 'e7bed1fb1454426dacf6c542a5500ff4'}"
general intern program,subclass of,intern,"{'spans': [[48, 98]], 'source': 'e7bed1fb1454426dacf6c542a5500ff4'}"
intern program,subclass of,general intern,"{'spans': [[48, 98]], 'source': 'e7bed1fb1454426dacf6c542a5500ff4'}"
Korean medicine,subclass of,internal Korean medicine,"{'spans': [[48, 98]], 'source': 'e7bed1fb1454426dacf6c542a5500ff4'}"
Functional,subclass of,medical device,"{'spans': [[96, 146]], 'source': 'e7bed1fb1454426dacf6c542a5500ff4'}"
Functional,subclass of,medical devices,"{'spans': [[96, 146]], 'source': 'e7bed1fb1454426dacf6c542a5500ff4'}"
diagnostic medical device,subclass of,medical device,"{'spans': [[96, 146]], 'source': 'e7bed1fb1454426dacf6c542a5500ff4'}"
Adversarial Questions,subclass of,Functional Robustness,"{'spans': [[144, 194]], 'source': 'e7bed1fb1454426dacf6c542a5500ff4'}"
Adversarial Questions,subclass of,Adversarial Questions,"{'spans': [[144, 194]], 'source': 'e7bed1fb1454426dacf6c542a5500ff4'}"
Contextual/Reference Questions,subclass of,Functional Robustness,"{'spans': [[144, 194]], 'source': 'e7bed1fb1454426dacf6c542a5500ff4'}"
Triple Energizer,part of,Zang-Fu,"{'spans': [[192, 242]], 'source': 'e7bed1fb1454426dacf6c542a5500ff4'}"
Zang-Fu,has part,Triple Energizer,"{'spans': [[192, 242]], 'source': 'e7bed1fb1454426dacf6c542a5500ff4'}"
Triple Energizer,instance of,Zang-Fu,"{'spans': [[192, 242]], 'source': 'e7bed1fb1454426dacf6c542a5500ff4'}"
thoracic,connects with,abdominal cavity,"{'spans': [[240, 290]], 'source': 'e7bed1fb1454426dacf6c542a5500ff4'}"
abdominal cavity,connects with,thoracic,"{'spans': [[240, 290]], 'source': 'e7bed1fb1454426dacf6c542a5500ff4'}"
thoracic,connects with,abdominal cavities,"{'spans': [[240, 290]], 'source': 'e7bed1fb1454426dacf6c542a5500ff4'}"
abdominal cavities,connects with,thoracic,"{'spans': [[240, 290]], 'source': 'e7bed1fb1454426dacf6c542a5500ff4'}"
case-based,subclass of,study,"{'spans': [[240, 290]], 'source': 'e7bed1fb1454426dacf6c542a5500ff4'}"
ginseng,part of,black goat,"{'spans': [[288, 338]], 'source': 'e7bed1fb1454426dacf6c542a5500ff4'}"
ginseng,has part,black goat,"{'spans': [[288, 338]], 'source': 'e7bed1fb1454426dacf6c542a5500ff4'}"
black goat,has part,ginseng,"{'spans': [[288, 338]], 'source': 'e7bed1fb1454426dacf6c542a5500ff4'}"
Zang-Fu,instance of,physiological functions,"{'spans': [[0, 50]], 'source': 'b256794b915c44e88966c8e93fe64e96'}"
Zang-Fu,subclass of,physiological functions,"{'spans': [[0, 50]], 'source': 'b256794b915c44e88966c8e93fe64e96'}"
Zang-Fu,instance of,physiological function,"{'spans': [[0, 50]], 'source': 'b256794b915c44e88966c8e93fe64e96'}"
Exterior,connects with,Interior,"{'spans': [[43, 93]], 'source': 'b256794b915c44e88966c8e93fe64e96'}"
Interior,connects with,Exterior,"{'spans': [[43, 93]], 'source': 'b256794b915c44e88966c8e93fe64e96'}"
Exterior-Interior connection,facet of,ChatGPT,"{'spans': [[43, 93]], 'source': 'b256794b915c44e88966c8e93fe64e96'}"
Exterior-Interior connection,used by,ChatGPT,"{'spans': [[43, 93]], 'source': 'b256794b915c44e88966c8e93fe64e96'}"
L C.s c,area,1.7,"{'spans': [[0, 50]], 'source': 'cfc0b88026084129b75a89a5a05ebd6a'}"
L C.s c,area,1 1.7,"{'spans': [[0, 50]], 'source': 'cfc0b88026084129b75a89a5a05ebd6a'}"
L C.s c,length,1 1.7 0 4 2,"{'spans': [[0, 50]], 'source': 'cfc0b88026084129b75a89a5a05ebd6a'}"
Galileo Technologies Inc.,founded by,Robert Friel,"{'spans': [[41, 91]], 'source': 'cfc0b88026084129b75a89a5a05ebd6a'}"
RAGBench,developer,Galileo Technologies Inc.,"{'spans': [[41, 91]], 'source': 'cfc0b88026084129b75a89a5a05ebd6a'}"
Robert Friel,employer,Galileo Technologies Inc.,"{'spans': [[41, 91]], 'source': 'cfc0b88026084129b75a89a5a05ebd6a'}"
Atindriyo Sanyal,employer,Galileo Technologies Inc.,"{'spans': [[82, 132]], 'source': 'cfc0b88026084129b75a89a5a05ebd6a'}"
Masha Belyi,employer,Galileo Technologies Inc.,"{'spans': [[82, 132]], 'source': 'cfc0b88026084129b75a89a5a05ebd6a'}"
Large Language Model,instance of,pat- tern,"{'spans': [[0, 50]], 'source': '93466a7609a1456990562ff25dcad672'}"
Large Language Model,subclass of,pat- tern,"{'spans': [[0, 50]], 'source': '93466a7609a1456990562ff25dcad672'}"
Large Language Model,use,pat- tern,"{'spans': [[0, 50]], 'source': '93466a7609a1456990562ff25dcad672'}"
LLM,subclass of,document retriever,"{'spans': [[45, 95]], 'source': '93466a7609a1456990562ff25dcad672'}"
LLM,use,document retriever,"{'spans': [[45, 95]], 'source': '93466a7609a1456990562ff25dcad672'}"
RAGBench,use,RAG systems,"{'spans': [[90, 140]], 'source': '93466a7609a1456990562ff25dcad672'}"
RAGBench,use,RAG system,"{'spans': [[90, 140], [132, 182]], 'source': '93466a7609a1456990562ff25dcad672'}"
RAGBench,use,RAG,"{'spans': [[90, 140], [225, 275], [117, 167], [0, 50]], 'source': '93466a7609a1456990562ff25dcad672'}"
RAGBench,instance of,dataset,"{'spans': [[135, 185], [0, 50], [220, 270], [150, 200], [82, 132]], 'source': '93466a7609a1456990562ff25dcad672'}"
RAGBench,instance of,benchmark dataset,"{'spans': [[135, 185]], 'source': '93466a7609a1456990562ff25dcad672'}"
RAGBench,use,RAG benchmark,"{'spans': [[135, 185]], 'source': '93466a7609a1456990562ff25dcad672'}"
TRACe,instance of,evaluation framework,"{'spans': [[180, 230], [200, 250]], 'source': '93466a7609a1456990562ff25dcad672'}"
TRACe,use,evalua- tion,"{'spans': [[180, 230]], 'source': '93466a7609a1456990562ff25dcad672'}"
TRACe,instance of,evalua- tion,"{'spans': [[180, 230], [0, 50]], 'source': '93466a7609a1456990562ff25dcad672'}"
RAGBench,use,labeled dataset,"{'spans': [[225, 275]], 'source': '93466a7609a1456990562ff25dcad672'}"
RAGBench,use,explainable labels,"{'spans': [[225, 275]], 'source': '93466a7609a1456990562ff25dcad672'}"
RoBERTa,influenced by,LLM,"{'spans': [[270, 320]], 'source': '93466a7609a1456990562ff25dcad672'}"
RoBERTa,based on,LLM,"{'spans': [[270, 320]], 'source': '93466a7609a1456990562ff25dcad672'}"
strug- gle,based on,LLM,"{'spans': [[270, 320]], 'source': '93466a7609a1456990562ff25dcad672'}"
RAGBench,part of,TRAC,"{'spans': [[0, 50]], 'source': '6264206c71934f2e9cd5f2eda0e87514'}"
RAGBench,based on,TRAC,"{'spans': [[0, 50]], 'source': '6264206c71934f2e9cd5f2eda0e87514'}"
RAGBench,uses,TRAC,"{'spans': [[0, 50]], 'source': '6264206c71934f2e9cd5f2eda0e87514'}"
RAGBench,use,RAG evaluation task,"{'spans': [[12, 62], [132, 182]], 'source': '6264206c71934f2e9cd5f2eda0e87514'}"
RoBERTa,use,RAG evaluation task,"{'spans': [[12, 62]], 'source': '6264206c71934f2e9cd5f2eda0e87514'}"
RAGBench,has part,TRACe,"{'spans': [[12, 62]], 'source': '6264206c71934f2e9cd5f2eda0e87514'}"
pre-trained,facet of,Large Language Model,"{'spans': [[0, 50]], 'source': '6df7c4db7cb84adda4aaaea207e0383e'}"
reasoning,uses,reason,"{'spans': [[0, 50]], 'source': '6df7c4db7cb84adda4aaaea207e0383e'}"
pre-trained,part of,Large Language Model,"{'spans': [[0, 50]], 'source': '6df7c4db7cb84adda4aaaea207e0383e'}"
Retriever-Augmented Generation,use,dialogue application,"{'spans': [[42, 92]], 'source': '6df7c4db7cb84adda4aaaea207e0383e'}"
Retriever-Augmented Generation,uses,Retriever,"{'spans': [[42, 92]], 'source': '6df7c4db7cb84adda4aaaea207e0383e'}"
Retriever-Augmented Generation,based on,Retriever,"{'spans': [[42, 92]], 'source': '6df7c4db7cb84adda4aaaea207e0383e'}"
LLM,named after,LL,"{'spans': [[84, 134]], 'source': '6df7c4db7cb84adda4aaaea207e0383e'}"
LLM,facet of,LL,"{'spans': [[84, 134]], 'source': '6df7c4db7cb84adda4aaaea207e0383e'}"
knowledge-intensive tasks,subclass of,performance,"{'spans': [[126, 176]], 'source': '6df7c4db7cb84adda4aaaea207e0383e'}"
knowledge-intensive tasks,subclass of,knowledge-intensive tasks,"{'spans': [[126, 176]], 'source': '6df7c4db7cb84adda4aaaea207e0383e'}"
knowledge-intensive tasks,has effect,performance,"{'spans': [[126, 176]], 'source': '6df7c4db7cb84adda4aaaea207e0383e'}"
generator model,facet of,context,"{'spans': [[168, 218]], 'source': '6df7c4db7cb84adda4aaaea207e0383e'}"
generator model,part of,context,"{'spans': [[168, 218]], 'source': '6df7c4db7cb84adda4aaaea207e0383e'}"
application-specific RAG system,use,application-specific RAG system,"{'spans': [[168, 218]], 'source': '6df7c4db7cb84adda4aaaea207e0383e'}"
retriever,subclass of,generator model,"{'spans': [[210, 260]], 'source': '6df7c4db7cb84adda4aaaea207e0383e'}"
retriever,subclass of,generator,"{'spans': [[210, 260]], 'source': '6df7c4db7cb84adda4aaaea207e0383e'}"
retriever,subclass of,generator models,"{'spans': [[210, 260]], 'source': '6df7c4db7cb84adda4aaaea207e0383e'}"
RAG system design,facet of,LLMs,"{'spans': [[0, 50]], 'source': '40f9c56a8e0d4b818c5514e91b240c89'}"
Generative LLMs,subclass of,LLMs,"{'spans': [[0, 50]], 'source': '40f9c56a8e0d4b818c5514e91b240c89'}"
RAG system design,facet of,RAG application,"{'spans': [[0, 50]], 'source': '40f9c56a8e0d4b818c5514e91b240c89'}"
RAG evaluation,subclass of,iterative evaluation,"{'spans': [[21, 71]], 'source': '40f9c56a8e0d4b818c5514e91b240c89'}"
RAG system design,subclass of,iterative evaluation,"{'spans': [[21, 71]], 'source': '40f9c56a8e0d4b818c5514e91b240c89'}"
RAG system design,facet of,iterative evaluation,"{'spans': [[21, 71]], 'source': '40f9c56a8e0d4b818c5514e91b240c89'}"
TruLens,use,automated RAG evaluation,"{'spans': [[0, 50]], 'source': '6f3497b9f4e744a7a64f6b83a52296c3'}"
TruLens,use,automated RAG evaluation systems,"{'spans': [[0, 50]], 'source': '6f3497b9f4e744a7a64f6b83a52296c3'}"
TruLens,instance of,automated RAG evaluation systems,"{'spans': [[0, 50]], 'source': '6f3497b9f4e744a7a64f6b83a52296c3'}"
LLMs,subclass of,generators,"{'spans': [[42, 92]], 'source': '6f3497b9f4e744a7a64f6b83a52296c3'}"
LLMs,subclass of,generator,"{'spans': [[42, 92]], 'source': '6f3497b9f4e744a7a64f6b83a52296c3'}"
LLMs,instance of,generators,"{'spans': [[42, 92]], 'source': '6f3497b9f4e744a7a64f6b83a52296c3'}"
AttributionBench,instance of,benchmarks,"{'spans': [[84, 134]], 'source': '6f3497b9f4e744a7a64f6b83a52296c3'}"
RAGTruth,instance of,benchmarks,"{'spans': [[84, 134]], 'source': '6f3497b9f4e744a7a64f6b83a52296c3'}"
context relevance,instance of,metric,"{'spans': [[126, 176]], 'source': '6f3497b9f4e744a7a64f6b83a52296c3'}"
ARES,instance of,context relevance metric,"{'spans': [[126, 176]], 'source': '6f3497b9f4e744a7a64f6b83a52296c3'}"
context relevance metric,facet of,labels,"{'spans': [[126, 176]], 'source': '6f3497b9f4e744a7a64f6b83a52296c3'}"
answer relevance,instance of,relevance metric,"{'spans': [[168, 218]], 'source': '6f3497b9f4e744a7a64f6b83a52296c3'}"
noise rejection,facet of,correctness,"{'spans': [[168, 218]], 'source': '6f3497b9f4e744a7a64f6b83a52296c3'}"
answer relevance,subclass of,relevance metric,"{'spans': [[168, 218]], 'source': '6f3497b9f4e744a7a64f6b83a52296c3'}"
robustness,subclass of,evaluation,"{'spans': [[210, 260]], 'source': '6f3497b9f4e744a7a64f6b83a52296c3'}"
cross-domain generalization,subclass of,in-domain evaluation,"{'spans': [[210, 260]], 'source': '6f3497b9f4e744a7a64f6b83a52296c3'}"
